SA2_5DIG16,shortest_time_sec,shortest_time_min
11594,596.3727134390517,10.0
11595,599.6522436680511,10.0
11596,649.9173232410116,11.0
11597,692.0704344963791,12.0
11598,160.5670485944811,3.0
11599,350.44595496960875,6.0
11600,670.7793113277464,12.0
11601,123.86537664132689,3.0
11602,169.29773114977823,3.0
11603,309.9764296946123,6.0
11604,625.0161398875447,11.0
11605,457.2402782168827,8.0
11606,361.8437717826255,7.0
11607,874.7594345168117,15.0
11608,674.4730997378949,12.0
11609,1097.8880809185348,19.0
19499,,
19799,,
21001,480.5043374112413,9.0
21002,139.00468943842526,3.0
21003,386.7727383173515,7.0
21004,383.6819059804367,7.0
21005,861.9646246162433,15.0
21006,480.9762733446519,9.0
21007,1138.9835881753313,19.0
21008,307.1976200246204,6.0
21009,1365.246782727428,23.0
21010,667.7255745658836,12.0
21011,691.4750895255148,12.0
21012,1566.922297057781,27.0
21013,1864.8372953305034,32.0
21014,952.3639156350298,16.0
21015,1418.2507402422614,24.0
21016,190.83534024791297,4.0
21017,783.1826879271072,14.0
21018,188.59426428720226,4.0
21019,462.23346972860134,8.0
21020,370.0819625890737,7.0
21021,398.16207377224964,7.0
21022,337.2433397781622,6.0
21023,460.6482048263685,8.0
21024,785.9944940303698,14.0
21025,482.68286466740295,9.0
21026,1200.2717645421653,21.0
21027,371.97953365430004,7.0
21028,854.6822510312317,15.0
21029,622.972711111111,11.0
21030,482.0898363033569,9.0
21031,913.826168359942,16.0
21032,1252.934383624655,21.0
21033,1241.072525621227,21.0
21034,1111.8469626168223,19.0
21035,1946.0146658868257,33.0
21036,878.1757227446883,15.0
21037,396.6319922685948,7.0
21038,588.1524525436598,10.0
21039,171.3740137018663,3.0
21040,257.10361161058313,5.0
21041,456.70383706440936,8.0
21042,384.7389405708093,7.0
21043,1112.4857474440455,19.0
21044,683.8001713262207,12.0
21045,218.45303113427514,4.0
21046,257.9798224852071,5.0
21047,276.24419700799234,5.0
21048,1244.7293879691363,21.0
21049,1233.2893596059114,21.0
21050,1213.0951260074198,21.0
21051,1814.129414135985,31.0
21052,1478.4586323139897,25.0
21053,1174.9970759280395,20.0
21054,920.1253590026827,16.0
21055,2377.2151789976137,40.0
21056,617.2275849602314,11.0
21057,904.1992981661762,16.0
21058,1439.312490632026,24.0
21059,271.56540097683944,5.0
21060,1230.0107142857141,21.0
21061,3095.6510752688173,52.0
21062,1099.54655608659,19.0
21063,287.08575152041703,5.0
21064,1720.4773218741336,29.0
21065,766.542118930148,13.0
21066,231.00275891568197,4.0
21067,1294.4257130959818,22.0
21068,405.0930166374781,7.0
21069,668.5529418990296,12.0
21070,1366.8659192825114,23.0
21071,384.2238177128117,7.0
21072,1043.1407981141606,18.0
21073,366.7203587623366,7.0
21074,322.4568922510733,6.0
21075,1332.2085224744105,23.0
21076,847.755905268365,15.0
21077,1645.6686519853183,28.0
21078,1162.8214791502753,20.0
21079,429.54087979975503,8.0
21080,7585.5,127.0
21081,326.6845829364539,6.0
21082,1349.6119937896235,23.0
21083,,
21084,2099.5172945205477,35.0
21085,2002.3830432079574,34.0
21086,2297.388777459408,39.0
21087,1202.3833122629583,21.0
21088,2178.456779661017,37.0
21089,782.9537743105154,14.0
21090,788.354657261711,14.0
21091,2334.5717906707787,39.0
21092,3877.5999999999995,65.0
21093,854.6453339329885,15.0
21094,1208.6526334208222,21.0
21095,1088.7719595617168,19.0
21096,293.91627435358873,5.0
21097,572.9976763330216,10.0
21098,1182.784760236479,20.0
21099,6136.285714285715,103.0
21100,1809.0345796562935,31.0
21101,899.4775229026908,15.0
21102,1517.6720450680273,26.0
21103,264.73755640639956,5.0
21104,834.4181306306306,14.0
21105,182.90328688395527,4.0
21106,284.6233227127902,5.0
21107,178.05632846715326,3.0
21108,195.87865701925656,4.0
21109,208.78164149043303,4.0
21110,246.4150729517396,5.0
21111,316.3474801490844,6.0
21112,296.7264604067504,5.0
21113,296.5249218431425,5.0
21114,261.03495869873734,5.0
21115,202.3416394739444,4.0
21116,334.22311684668256,6.0
21117,113.03360164141415,2.0
21118,170.03329676357652,3.0
21119,48.85008103727715,1.0
21120,499.2,9.0
21121,267.59554816662046,5.0
21122,126.13796797172085,3.0
21123,108.94673960400831,2.0
21124,131.99900229203183,3.0
21125,112.56571895424835,2.0
21126,197.09923431141573,4.0
21127,287.1,5.0
21128,184.90917842971444,4.0
21129,216.82219523403137,4.0
21130,355.4533465665902,6.0
21131,411.66999999999996,7.0
21132,165.68939091146058,3.0
21133,155.50297177388512,3.0
21134,106.92729719809128,2.0
21135,126.4196619217082,3.0
21136,83.9009795959801,2.0
21137,127.23368015414259,3.0
21138,178.46067183066188,3.0
21139,152.47910192095927,3.0
21140,220.21743827160495,4.0
21141,165.18203557545056,3.0
21142,132.97083973866256,3.0
21143,281.085359317905,5.0
21144,128.51176046412533,3.0
21145,263.5350693679806,5.0
21146,284.48399690761505,5.0
21147,221.14389538538916,4.0
21148,330.9051678183613,6.0
21149,203.60264847888251,4.0
21150,201.6918366097128,4.0
21151,117.52651495335252,2.0
21152,124.69987488476227,3.0
21153,140.45975273611674,3.0
21154,247.90778820994308,5.0
21155,238.94381057538953,4.0
21156,244.95481535119478,5.0
21157,225.73937874287938,4.0
21159,344.34898413080066,6.0
21160,208.4010002206369,4.0
21161,225.00651128030265,4.0
21162,181.36678764191328,4.0
21163,179.4794376009693,3.0
21164,194.965069040283,4.0
21165,362.79382776686316,7.0
21166,224.1868282196599,4.0
21167,214.6741802867743,4.0
21168,283.41150652431793,5.0
21169,142.93809817301343,3.0
21170,159.1950006328313,3.0
21171,196.96729853479857,4.0
21172,189.6627730616865,4.0
21173,138.58351681587226,3.0
21174,232.99150475680025,4.0
21176,293.6293648596268,5.0
21177,113.51936174260437,2.0
21178,139.70451494463887,3.0
21179,89.20418428470754,2.0
21180,379.4995095440085,7.0
21181,323.4760189777873,6.0
21182,232.28214580055442,4.0
21183,675.9427476677032,12.0
21184,473.0825396825396,8.0
21185,739.4985648828564,13.0
21186,857.8786333826952,15.0
21187,783.1956766917293,14.0
21188,167.08600394760452,3.0
21189,660.857333437966,12.0
21190,258.5933323067447,5.0
