SA2_5DIG,SA2_name,SA2_area,SA2_population,SA2_population_percentage,SA2_population_density
11381,Rockdale - Banksia,3.5762,19988.0,0.07781041159208518,5589.2
11382,Sans Souci - Ramsgate,4.6115,16669.0,0.06489002155435601,3614.7
11375,Arncliffe - Bardwell Valley,4.313,16651.0,0.06481995014107517,3860.7
11376,Bexley - North,2.6007,10161.0,0.0395553127970371,3907.0
11376,Bexley - South,2.6771,15874.0,0.06179520080111868,5929.6
11375,Wolli Creek,0.6795,10861.0,0.042280312202403296,15983.8
11383,Concord - Mortlake - Cabarita,6.3199,23204.0,0.09032983743159619,3671.6
11385,Drummoyne - Rodd Point,3.7047,18406.0,0.07165191293595757,4968.3
11386,Five Dock - Abbotsford,4.6202,20999.0,0.08174608930469265,4545.0
11384,Concord West - North Strathfield,4.0969,12927.0,0.05032295330452697,3155.3
11384,Rhodes,1.006,11629.0,0.04527002583571936,11559.6
11387,Balmain,2.5815,15629.0,0.06084145100924051,6054.2
11389,Lilyfield - Rozelle,3.6039,13869.0,0.053990023932891214,3848.3
11388,Annandale (NSW),1.4885,9516.0,0.03704442048780682,6393.0
11388,Leichhardt,2.9838,17630.0,0.06863105645229446,5908.6
11392,Canterbury (North) - Ashbury,3.0278,12049.0,0.046905025478939086,3979.5
11393,Croydon Park - Enfield,3.9711,17459.0,0.06796537802612644,4396.5
11394,Dulwich Hill - Lewisham,2.7016,18049.0,0.07026216323922081,6680.9
11395,Haberfield - Summer Hill,3.4746,13553.0,0.05275988134418304,3900.6
11396,Homebush,3.8432,21023.0,0.08183951785573379,5470.2
11576,Strathfield South,2.5112,3648.0,0.014201139758251288,1452.7
11390,Ashfield - North,1.5609,11508.0,0.04479899022422035,7372.7
11390,Ashfield - South,2.1091,12274.0,0.04778091814494965,5819.5
11391,Burwood (NSW),1.905,16048.0,0.06247255779616685,8424.1
11391,Croydon,2.5877,10997.0,0.04280974065830302,4249.7
11575,Strathfield - East,2.5414,16583.0,0.0645552359131253,6525.1
11575,Strathfield - West,3.9101,9292.0,0.03617242067808963,2376.4
11399,Chatswood (West) - Lane Cove North,5.5372,21425.0,0.08340444608567266,3869.3
11401,St Leonards - Naremburn,2.761,11986.0,0.04665977553245613,4341.2
11398,Artarmon,1.6583,9469.0,0.03686145624201794,5710.1
11402,Castle Cove - Northbridge,7.6847,13468.0,0.05242898855924571,1752.6
11398,Chatswood - East,3.4093,19770.0,0.07696176892012828,5798.8
