SA2_CODE_2016,SA2_5DIG16,AREA_SQKM,NR_OF_PEOPLE_2016,NR_OF_PEOPLE_2016_%,POPULATION_DENSITY_2016
121021579,11579,2.1,9979,0.04,4751.9047619047615
121031407,11407,11.7,22297,0.09,1905.7264957264958
121031408,11408,11.9,24098,0.1,2025.0420168067226
121031409,11409,10.3,17056,0.07,1655.9223300970873
121031410,11410,17.8,21512,0.09,1208.5393258426966
121031411,11411,20.6,19860,0.08,964.0776699029126
121031412,11412,13.3,18651,0.08,1402.3308270676691
121041413,11413,3.2,20281,0.08,6337.8125
121041414,11414,3.0,19125,0.08,6375.0
121041415,11415,8.7,30215,0.12,3472.9885057471265
121041416,11416,2.2,19052,0.08,8660.0
121041417,11417,1.9,11479,0.05,6041.578947368422
122011418,11418,7.6,21325,0.09,2805.921052631579
122011419,11419,6.7,23669,0.1,3532.686567164179
122021420,11420,8.6,13109,0.05,1524.3023255813955
122021421,11421,64.6,11289,0.05,174.75232198142416
122021422,11422,5.8,13927,0.06,2401.206896551724
122021423,11423,11.7,25179,0.1,2152.051282051282
122031424,11424,4.3,14428,0.06,3355.3488372093025
122031425,11425,7.5,7761,0.03,1034.8
122031426,11426,4.1,26354,0.11,6427.804878048781
122031427,11427,8.9,13326,0.06,1497.3033707865168
122031428,11428,30.1,26366,0.11,875.9468438538206
122031429,11429,7.2,22330,0.09,3101.3888888888887
122031430,11430,9.4,17601,0.07,1872.4468085106382
122031431,11431,7.2,25903,0.11,3597.6388888888887
122031432,11432,70.5,3777,0.02,53.57446808510638
123011433,11433,26.2,13277,0.05,506.7557251908397
123011434,11434,21.5,21700,0.09,1009.3023255813954
123011435,11435,26.1,29235,0.12,1120.1149425287356
123021436,11436,36.7,19484,0.08,530.8991825613078
123021437,11437,13.7,18604,0.08,1357.9562043795622
123021438,11438,22.9,20989,0.09,916.5502183406114
123021439,11439,129.8,0,0.0,0.0
123021440,11440,30.9,20675,0.09,669.0938511326862
123021441,11441,23.6,16934,0.07,717.5423728813558
123021442,11442,16.0,24259,0.1,1516.1875
123021443,11443,12.4,20388,0.08,1644.1935483870968
123021444,11444,48.1,21512,0.09,447.2349272349272
123031445,11445,67.8,5861,0.02,86.44542772861357
123031446,11446,289.9,9985,0.04,34.44291134874095
123031447,11447,189.9,17149,0.07,90.30542390731964
123031448,11448,322.7,9220,0.04,28.571428571428573
124011449,11449,139.2,5659,0.02,40.65373563218391
124011450,11450,29.7,19373,0.08,652.2895622895624
124011451,11451,595.0,13,0.0,0.021848739495798318
124011452,11452,40.9,13613,0.06,332.8361858190709
124011453,11453,46.9,11452,0.05,244.17910447761196
124011454,11454,69.7,22138,0.09,317.6183644189383
124011455,11455,21.0,6248,0.03,297.5238095238095
124021456,11456,2456.9,4,0.0,0.001628067890431031
124031457,11457,6.6,15937,0.07,2414.69696969697
124031458,11458,71.5,24472,0.1,342.26573426573424
124031459,11459,13.8,14566,0.06,1055.5072463768115
124031460,11460,9.2,21793,0.09,2368.804347826087
124031461,11461,9.0,17684,0.07,1964.888888888889
124031462,11462,14.0,20157,0.08,1439.7857142857142
124031463,11463,158.7,9914,0.04,62.4700693131695
124031464,11464,10.4,13630,0.06,1310.576923076923
124031465,11465,63.6,5299,0.02,83.31761006289308
124041466,11466,74.7,14136,0.06,189.23694779116465
124041467,11467,22.7,15746,0.07,693.6563876651983
124041468,11468,81.4,7587,0.03,93.2063882063882
124051469,11469,8.4,6595,0.03,785.1190476190476
124051470,11470,7.2,20377,0.08,2830.1388888888887
124051580,11580,4.7,11922,0.05,2536.595744680851
124051581,11581,12.9,16533,0.07,1281.627906976744
125011473,11473,11.3,19594,0.08,1733.9823008849557
125011475,11475,3.0,3,0.0,1.0
125011582,11582,3.7,18070,0.07,4883.783783783783
125011583,11583,2.1,11971,0.05,5700.47619047619
125011584,11584,2.4,8897,0.04,3707.0833333333335
125011585,11585,2.1,9312,0.04,4434.285714285714
125011586,11586,6.4,20936,0.09,3271.25
125011587,11587,2.0,5294,0.02,2647.0
125021476,11476,9.7,28396,0.12,2927.4226804123714
125021477,11477,9.9,22020,0.09,2224.242424242424
125021478,11478,6.1,18448,0.08,3024.2622950819673
125031479,11479,7.3,19060,0.08,2610.958904109589
125031480,11480,5.7,15972,0.07,2802.1052631578946
125031481,11481,5.6,21894,0.09,3909.6428571428573
125031482,11482,11.8,27324,0.11,2315.593220338983
125031483,11483,6.8,21848,0.09,3212.9411764705883
125031484,11484,5.5,21520,0.09,3912.7272727272725
125031485,11485,6.7,29836,0.12,4453.134328358209
125031486,11486,4.3,35,0.0,8.13953488372093
125031487,11487,2.1,23,0.0,10.952380952380953
125041489,11489,7.1,23066,0.1,3248.7323943661972
125041490,11490,5.4,8224,0.03,1522.9629629629628
125041491,11491,5.9,21222,0.09,3596.9491525423728
125041492,11492,8.5,30741,0.13,3616.5882352941176
