SA2_5DIG,shortest_time_sec,closest_hospital_IDs,closest_hospital_distances
11160,634.567931169339,337;430;489;683;204,634.567931169339;2201.319925694173;2585.319925694173;3928.719925694172;4117.119925694173
11161,0.0,337;430;489;683;204,0.0;2373.0;2757.0;4100.4;4288.8
11162,1622.737374821173,683;953;204;684;502,1702.5954816404387;1727.4352765855983;1841.9868264186935;1863.9868264186935;3196.3018776824038
11163,352.65941672898197,204;684;683;953;430,358.5432966563401;380.8000997044475;647.0594309724745;1374.4594309724746;3076.3954313997788
11164,299.56328160919537,683;204;684;953;430,356.6054195402299;408.21861494252875;466.54779310344827;1058.9410689655174;2719.6276034482757
11165,1566.878058435438,953;683;204;684;430,1701.6383977379828;2129.0461828463713;2311.065315739868;2366.21958529689;3472.903185673893
11166,319.95276458464025,953;683;204;684;430,328.8361053857873;1038.743812169549;1317.4149386145712;1339.7316605430594;2904.843650864773
11167,612.7928713264496,322;112;255;988;502,612.7928713264496;3887.445869737887;4087.729050833995;4402.424285146943;4455.67956711676
11168,1231.5462151394422,502;988;299;112;953,1269.1293872130525;2021.2300512236766;2120.7382849554165;3456.4421172453044;4020.941747296528
11169,337.28654240265445,502;988;299;112;953,339.3302771542891;945.6387479262223;2330.278379037767;3494.278379037767;3509.9801990826577
11170,1879.9239555662884,502;988;299;953;683,2099.8463495130004;2321.2770345327212;3541.3913305964743;3872.7377364565723;4102.252459148353
11171,223.242112125163,988;502;299;953;322,223.242112125163;902.3982492084187;3016.1982492084185;3798.91907245297;4132.184186999441
11172,395.48146351189683,9;862;537;11;10,395.5425827462448;461.89324737471753;566.7400305729097;762.7115512428552;926.2884354645754
11173,359.829422548121,537;9;862;11;10,364.7304613504431;427.7288114879316;497.62881148793144;623.6905285670639;923.3543945411957
11174,207.32867518884368,11;537;9;862;10,280.08376912647685;303.6206565950029;403.37290335076506;473.2683711020725;778.2787332945962
11175,930.8299517740268,221;9;537;862;379,1718.7214691698246;2179.985084395453;2234.965527040992;2249.8850843954533;2312.628177747158
11176,507.3780521451235,9;537;862;11;10,510.8389570975307;518.8472547937647;580.7389570975307;783.5937094771692;1003.0592564491653
11177,608.3342751429533,359;42;236;344;374,652.4225025227045;5994.841372351161;6404.0468550285905;6498.5237806929035;7176.401076353851
11178,624.5508836278758,548;547;958;718;497,1114.5486495498499;1118.8486495498498;1166.3519506502168;4399.055635211736;5436.198482827609
11179,1424.5125,42;718;500;548;547,3828.364727171492;4227.257043429844;5573.590339643652;6235.469933184855;6239.769933184855
11180,204.56542379046928,210;1007;630;943;10,204.56542379046928;2206.4771735176423;2495.0870316478718;2529.187031647872;2765.0662422699165
11181,1040.0880941803641,210;1007;11;537;9,1996.840337627721;2507.334029320302;3166.7686509699392;3419.755190285799;3466.1231304605362
11182,266.6535140968569,236;293;265;71;898,266.6535140968569;3124.9938216646424;3919.6715769593957;4180.893821664643;4208.993821664643
11183,1575.0286118980168,48;236;265;432;293,3878.092366184583;3970.684985835693;5480.908364395407;6026.10587445952;6434.996287460862
11184,536.1183250556602,265;719;450;605;191,536.1183250556602;1931.2183250556604;2394.51832505566;3417.2455386196266;3631.818325055661
11185,422.9494214876033,293;898;71;188;404,1432.030506198347;1444.9733574380166;1912.118605371901;1929.298708677686;2575.7694938016534
11186,326.18695857480145,22;23;351;940;897,326.83915003219573;344.56662803176647;2145.7461815840306;3369.0667654003005;4903.164181154755
11187,980.4577674212162,351;22;23;317;897,1285.880292942743;2416.2491788726143;2430.0892587660896;4018.335952063915;4145.811540168664
11188,1496.2534282875124,23;22;940;351;847,1523.984349122226;1534.0872805564757;2923.6586618085457;3376.901341503809;5318.257601854919
11189,1311.1206092632888,940;23;22;847;848,1311.1206092632888;4397.425955859497;4409.725955859497;5866.704631644389;5932.404631644389
11190,639.4047867513611,317;924;351;398;897,804.1749546279492;2969.106408802178;3469.12084845735;4471.8672867513615;4492.0772459165155
11191,399.687408993576,398;897;947;317;351,399.687408993576;1779.4679999999998;3598.1145524625267;3859.5555289079225;4261.294843683083
11192,1825.6144856278368,398;897;947;317;351,2795.4378025718606;2998.083509833585;5241.505011346445;5524.068494704993;5557.284379727685
11193,1243.1752797728411,947;77;398;51;897,2280.9841155837644;2359.5644563220308;4232.105127776849;5079.43352263237;5569.31384666778
11194,1008.4188682077454,855;819;86;952;924,1678.7203092164514;3548.518658060642;5160.506394476133;5555.841353947762;5681.3055839087365
11195,279.7121847203607,567;601;947;329;586,279.7121847203607;4640.672803704156;4765.27939563787;5625.723869867186;6120.028975265017
11196,2306.1119200440125,567;329;586;947;601,4087.659636897121;6281.379112415184;7153.837722354668;7265.863616357969;8047.607500458464
11197,320.9510662020906,601;955;84;567;350,320.9510662020906;2617.789393728223;2826.926076655052;4697.715567944251;5002.826076655052
11198,1436.500188245137,955;601;84;567;45,2291.870842919891;2917.3698389458273;5221.018636268563;6667.613595482116;6873.206944153943
11199,244.00184618745902,350;84;961;501;701,244.00184618745902;2366.234815381254;3429.933602796592;3834.789884203627;3971.933602796592
11200,1372.1394826744754,350;84;961;501;701,2012.7345290385556;2613.2686188384573;4498.155880917521;4855.385212298683;5044.1101024890195
11201,876.3276250972259,701;961;985;847;848,1273.948431423386;1690.9017111744881;2809.884210526315;3768.488644023853;3834.1886440238527
11202,617.2058800431923,847;848;961;501;701,617.2058800431923;682.9058800431923;2296.1038627662706;2689.1058800431924;3392.1745656228522
11203,307.72400079538676,847;848;501;961;701,308.02461059190034;340.42069331212303;2251.7268177901506;2600.277881619938;3744.8940743686617
11204,598.115099766313,847;848;961;501;701,598.115099766313;663.7219126370663;2348.135933848643;2669.782940859249;3522.435933848643
11205,1283.4053397533003,847;848;501;961;51,2022.1464726249733;2058.936436918416;2727.878981822116;4030.955675178533;4466.049880978143
11206,308.4138586496701,66;460;948;408;612,351.4276214112472;489.0491849512099;823.3526594844606;918.5306221445089;983.230622144509
11207,573.5561563169165,66;460;948;408;612,573.5561563169165;883.8561563169164;1216.7561563169165;1313.4561563169163;1378.1561563169162
11208,274.2677475898335,460;408;948;612;142,274.2677475898335;637.5354200575936;675.4008305162556;699.9934268185802;861.7062351320897
11209,422.7146745410194,408;948;612;460;142,497.36318312149615;522.4466384217059;562.0631831214961;694.2970599563488;759.231287713442
11210,267.3693510291306,460;948;66;408;612,267.9711393544033;570.4285907097064;604.5218423124508;668.8397930491508;733.539793049151
11211,481.4284732168433,460;66;408;948;612,481.4284732168433;718.9456602692637;988.2778859925521;1009.6778859925523;1052.9778859925523
11212,949.4758737316799,66;460;948;408;612,949.4758737316799;1259.7758737316797;1592.6758737316798;1689.37587373168;1754.0758737316796
11213,341.13172643869893,66;948;460;408;612,372.8554795663053;539.2527272727272;562.7724270225187;930.0379149291076;994.7379149291077
11214,244.78815286624206,948;460;408;66;612,244.78815286624206;654.7598576245786;734.4802397901836;756.4587860621956;799.1802397901837
11215,613.9237569060774,948;460;66;408;388,613.9237569060774;1153.3237569060775;1203.8237569060775;1212.7734101328317;1249.7734101328317
11216,580.6763615560641,568;1004;948;70;480,580.6763615560641;1860.4444279176203;2188.4444279176196;2197.6444279176203;2525.3444279176197
11217,829.6549246160349,388;408;948;612;142,874.150612935043;876.1709595603776;881.7181766943779;940.8709595603776;964.6910807383401
11218,875.2039275933471,568;1004;70;948;480,897.2507314140671;1548.6479527085698;1975.2548326765077;2129.0598690802217;2213.9083160777504
11219,925.9473196953859,948;460;66;568;408,925.9473196953859;1465.347319695386;1515.847319695386;1520.1087427206212;1523.883948036434
11220,1263.1485456595265,568;948;460;66;408,1274.3385569334837;1370.4136189402482;1909.813618940248;1960.313618940248;1970.2136189402481
11221,1035.133651919223,948;388;408;612;142,1081.5924618467704;1083.9450747649146;1090.6654848157855;1155.3654848157855;1174.546446739633
11222,455.507999231459,408;612;460;142;387,489.1217304982707;523.8453759446651;527.4027923658256;561.8421032406816;583.2421032406814
11223,946.3327653997379,388;142;387;494;408,948.3651495293698;1013.5651495293698;1019.2651495293698;1101.2570237102345;1280.7863934230907
11224,445.95219491525427,142;387;408;612;460,446.1242627118644;467.12170338983054;549.5102542372881;565.9102542372881;779.2105677966101
11225,288.05993919124353,408;612;142;387;388,316.0869626026148;337.17092733353604;340.76591061112805;362.16591061112797;589.9860869565217
11226,648.2396978629329,388;142;387;408;612,648.2396978629329;768.3775018422992;774.0775018422992;895.441215917465;914.4929108327193
11227,248.613748990035,142;387;388;408;612,248.613748990035;256.6706167519526;529.4530433611635;676.840674656612;693.2406746566119
11228,639.5688740261648,142;387;408;612;460,666.2881155372629;687.688115537263;688.9203880640895;705.3203880640893;705.7884977215933
